audio_filepath,ref,hyp_greedy
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Command and Control Words-W1_SP-0287_W1-0139.wav,आयतार,आयतार
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Phonetically Balanced-W4/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Phonetically Balanced-W4_SP-0153_W4-0090.wav,ओंड,ओंड
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Most Frequent Word-Part-W3A_SP-0204_W3A-0965.wav,कार्य,कार्य
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Command and Control Words-W1_SP-0312_W1-0006.wav,वचूं नाका,वचूं नाका
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Sentence-S_SP-0032_S-0221.wav,महानंद नायक आयच्या तारखेक सगळ्यात व्हडलो गुंड अशें लोकांचे मत आसा.,महानंद नायक आयच्या तारखेक सगळ्यात व्हडलो गुंड अशें लोकांचे मत आसा.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Sentence-S_SP-0192_S-0277.wav,विधवा जावप म्हळ्यार नरक यातना भोगप.,विधवा जावप म्हळ्यार नरक यातना भोगप.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0466_W1-0112.wav,आयक,आयक
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0060_W3A-0978.wav,ल्हव,ल्हव
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Most Frequent Word-FullSet-W3B_SP-0150_W3B-0382.wav,दुबाव,दुबाव
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0242_W3A-0687.wav,वागप,वागप
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0135_W1-0119.wav,उणें करात,उणें करात
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0250_W1-0301.wav,सातवी,सातवी
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Most Frequent Word-FullSet-W3B_SP-0004_W3B-0130.wav,ताची,ताची
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0197_W1-0309.wav,पांचवें,पांचवें
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0387_W1-0044.wav,पळोवचें,पळोवचें
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Most Frequent Word-FullSet-W3B_SP-0004_W3B-0267.wav,मनशां,मनशां
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0196_W3A-0807.wav,बोल्स,बोल्स
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Person Name-W2_SP-0213_W2-0556.wav,सरदार सिंह,सरदार सिंह
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Person Name-W2_SP-0215_W2-0380.wav,मात्रिका प्रसाद कोइराला,मात्रिका प्रसाद कोइराला
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0421_W3A-0398.wav,रावन,रावन
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Sentence-S_SP-0346_S-0026.wav,हांव म्हज्या इश्टा वांगडा अश्टविनायकाची यात्रा करून आयलो.,हांव म्हज्या इश्टा वांगडा अश्टविनायकाची यात्रा करून आयलो.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-FullSet-W3B_SP-0091_W3B-0687.wav,वागप,वागप
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Place Name-W2_SP-0359_W2-0757.wav,गाजीपुर,गाजीपुर
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Sentence-S_SP-0293_S-0395.wav,काम करता करता केन्ना दीस सोंपलो तेंच कळ्ळें ना,काम करता करता केन्ना दीस सोंपलो तेंच कळ्ळें ना
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0408_W1-0247.wav,एकुणअयशीं,एकुणअयशीं
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0144_W1-0317.wav,सव्वाय दोन,सव्वाय दोन
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Sentence-S_SP-0087_S-0328.wav,ताल्ल्याचें हुमण तिखट रूचकर लागता.,ताल्ल्याचें हुमण तिखट रूचकर लागता.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0106_W1-0127.wav,सोदात,सोदात
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Sentence-S_SP-0319_S-0271.wav,पुर्तुगेज राजवट निधर्मी आशिल्ली.,पुर्तुगेज राजवट निधर्मी आशिल्ली.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Person Name-W2_SP-0124_W2-0215.wav,टीनू आनंद,टीनू आनंद
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Sentence-S_SP-0138_S-0402.wav,भारतीय युध्दवीर युध्दाच्या वेळार व्हड साहस दाखयतात.,भारतीय युध्दवीर युध्दाच्या वेळार व्हड साहस दाखयतात.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Phonetically Balanced-W4/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Phonetically Balanced-W4_SP-0156_W4-0223.wav,ढग,ढग
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Person Name-W2_SP-0387_W2-0011.wav,अनंत राम भट,अनंत राम भट
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Place Name-W2_SP-0439_W2-1062.wav,गिरदोळी,गिरदोळी
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0068_W1-0042.wav,पळोव नाका,पळोव नाका
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Command and Control Words-W1_SP-0017_W1-0207.wav,एकुणचाळीस,एकुणचाळीस
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Sentence-S_SP-0071_S-0235.wav,कोणंय कोणाच्याय कामाक ढवळाढवळ करपाचो ना.,कोणंय कोणाच्याय कामाक ढवळाढळ करपाचो ना.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0384_W1-0224.wav,छाप्पन,छाप्पन
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Sentence-S_SP-0243_S-0049.wav,जेवणाची उंडी तोंडाक घालपावेळार फोन आयलो.,जेवणाची उंडी तोंडाक घालपावेळार फोन आयलो.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0298_W1-0257.wav,एकुणणव्वद,एकुणणव्वद
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Sentence-S_SP-0075_S-0153.wav,म्हादय न्हंय वाचोवपाचो ओघ गोंयकाराक लागिल्लो.,म्हादय न्हंय वाचोवाचो ओघ गोंयकाराक लागिल्लो.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0076_W3A-0884.wav,बरप,बरप
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Sentence-S_SP-0356_S-0133.wav,सगळ्यात व्हड मनीस जावपाची मोख म्हजी आसा.,सगळ्यात व्हड मनीस जावपाची मोख म्हजी आसा.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0487_W1-0104.wav,बरय,बरय
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Command and Control Words-W1_SP-0083_W1-0120.wav,उणें करचें,उणें करचें
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Sentence-S_SP-0329_S-0205.wav,कोंग्रेस पक्षान सरकार स्थापन केलें ही आयची ठळक बातमी.,कोंग्रेस पक्षान सरकार स्थापन केलें ही आयची ठळक बातमी.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Person Name-W2_SP-0202_W2-0272.wav,नागेन्द्र नारायण,नागेन्द्र नारायण
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Phonetically Balanced-W4/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Phonetically Balanced-W4_SP-0153_W4-0007.wav,माड,माड
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Sentence-S_SP-0182_S-0373.wav,महानंद नायकाचेर गांवच्या लोकांक पयलींच संशय आशिल्लो.,महानंद नायकाचेर गांवच्या लोकांक पयलींच संशय आशिल्लो.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Person Name-W2_SP-0383_W2-0116.wav,के टी सतरवाला,के टी सतरवाला
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Date-D/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Date-D_SP-0110_D-0002.wav,आमी आमचो स्वतंत्रताय दीस केंन्ना मनयतात?,आमी आमचो स्वतंत्रताय दीस केंन्ना मनयतात?
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Sentence-S_SP-0484_S-0325.wav,संगणक फकत मनोरंजनाचें साधन न्हंय.,संगणक फकत मनोरंजनाचें साधन न्हंय.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0379_W1-0165.wav,सांज,सांज
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Place Name-W2_SP-0218_W2-0971.wav,समस्तीपुर,समस्तीपुर
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0197_W3A-0208.wav,पुणून,पुणून
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Person Name-W2_SP-0355_W2-0582.wav,सुमन्त केळेकार,सुमन्त केळेकार
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0326_W3A-0922.wav,भाटकार,भाटकार
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Most Frequent Word-Part-W3A_SP-0177_W3A-0882.wav,पील,पील
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Most Frequent Word-Part-W3A_SP-0040_W3A-0440.wav,वांटो,वांटो
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Person Name-W2_SP-0304_W2-0368.wav,मनोहर पर्रेकार,मनोहर पर्रेकार
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Place Name-W2_SP-0259_W2-1125.wav,धारगळ,धारगळ
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Most Frequent Word-Part-W3A_SP-0462_W3A-0471.wav,पिवप,पिवप
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0411_W1-0313.wav,णवें,णवें
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0062_W1-0023.wav,वचूं नाका,वचूंस नाका
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Form and Function Word-W5/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Form and Function Word-W5_SP-0421_W5-0293.wav,नाजाल्यार,नाजाल्यार
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Place Name-W2_SP-0044_W2-1228.wav,मंगल,मंगल
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Place Name-W2_SP-0149_W2-0999.wav,हाजीपुर,हाजीपुर
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Sentence-S_SP-0009_S-0377.wav,सगळ्यांकूच आपलो वंश मुखार व्हरपाक घरांत चलो जाय.,सगळ्यांकूच आपलो वंश मुखार व्हरपाक घरांत चलो जाय.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0251_W3A-0457.wav,मरे,मरे
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0215_W3A-0177.wav,गरज,गरज
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0375_W3A-0228.wav,जीण,जीण
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0197_W3A-0945.wav,वीस,वीस
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Place Name-W2_SP-0123_W2-1305.wav,शापोरा,शापोरा
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0087_W1-0203.wav,पस्तीस,पस्तीस
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Most Frequent Word-Part-W3A_SP-0434_W3A-0848.wav,प्रत्येक,प्रत्येक
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Person Name-W2_SP-0034_W2-0545.wav,सईद अनवर,सईद अनवर
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Command and Control Words-W1_SP-0296_W1-0172.wav,चार,चार
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0352_W1-0097.wav,भाकीत करचें,भाकीत करचें
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0271_W1-0047.wav,घुंवन पळय,घुंवन पळय
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0383_W1-0149.wav,माय,माय
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Command and Control Words-W1_SP-0042_W1-0006.wav,वचूं नाका,वचूं नाका
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0096_W3A-0269.wav,कशी,कशी
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0374_W1-0156.wav,आँक्टोबर,आँक्टोबर
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0137_W1-0059.wav,वच्चें,वच्चें
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Most Frequent Word-Part-W3A_SP-0172_W3A-0822.wav,आर्य,आर्य
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Most Frequent Word-FullSet-W3B_SP-0004_W3B-0202.wav,कविता,कविता
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0197_W3A-0294.wav,रंग,रंग
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Form and Function Word-W5/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Form and Function Word-W5_SP-0197_W5-0300.wav,मागीर,मागीर
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0064_W1-0089.wav,विचारात,विचारात
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Place Name-W2_SP-0315_W2-0633.wav,अयोध्या,अयोध्या
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Person Name-W2_SP-0125_W2-0201.wav,जैक कैलिस,जैक कैलिस
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Sentence-S_SP-0079_S-0150.wav,रस्त्यावेलें खावन खावन यशवंताची प्रकृती बिघडली.,रस्त्यावेलें खावन खावन यशवंताची प्रकृती बिघडली.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Form and Function Word-W5/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Form and Function Word-W5_SP-0155_W5-0393.wav,पेड्डेर/पेड्ड्यार/पिड्ड्यार,पेड्र<unk>पेड्ड्यार<unk>पिड्ड्य
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0277_W3A-0470.wav,नेम,नेम
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0225_W3A-0017.wav,म्हाका,म्हाका
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0421_W3A-0836.wav,खर्च,खर्च
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Person Name-W2_SP-0265_W2-0513.wav,शणै गोंयबाब,शणै गोंयबाब
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0482_W1-0242.wav,चवद्यात्तर,चवद्यात्तर
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Most Frequent Word-FullSet-W3B_SP-0004_W3B-0388.wav,तेंच,तेच
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0473_W1-0088.wav,विचार,विचार
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Most Frequent Word-Part-W3A_SP-0253_W3A-0976.wav,नाद,नाद
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Command and Control Words-W1_SP-0071_W1-0181.wav,तेरा,तेरा
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0252_W1-0064.wav,वच नाका,वच नाका
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0075_W1-0054.wav,खा,खा
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0124_W1-0164.wav,दनपारां,दनपारां
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Person Name-W2_SP-0334_W2-0062.wav,एंडी फ्लावर,एंडी फ्लावर
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Most Frequent Word-FullSet-W3B_SP-0034_W3B-0878.wav,नायक,नायक
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Command and Control Words-W1_SP-0025_W1-0142.wav,फेब्रुवारी,फेब्रुवारी
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Person Name-W2_SP-0130_W2-0215.wav,टीनू आनंद,टीनू आनंद
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Person Name-W2_SP-0385_W2-0499.wav,विश्वभूषण कुमार वर्मा,सरिशवधण कुवार सरा
